distance_3d_Wrist_left_Wrist_right,distance_2d_Wrist_left_Wrist_right,mean_position_Elbow_left_x,mean_position_Elbow_left_y,mean_position_Elbow_left_z,mean_position_Elbow_right_x,mean_position_Elbow_right_y,mean_position_Elbow_right_z,mean_position_Wrist_left_x,mean_position_Wrist_left_y,mean_position_Wrist_left_z,mean_position_Wrist_right_x,mean_position_Wrist_right_y,mean_position_Wrist_right_z,distance_3d_Shoulder_left_Wrist_left,distance_2d_Shoulder_left_Wrist_left,distance_3d_Shoulder_right_Wrist_right,distance_2d_Shoulder_right_Wrist_right,Wrist_left_spectrum_2d,Wrist_left_spectrum_3d,Wrist_right_spectrum_2d,Wrist_right_spectrum_3d
452.6520078614779,452.5467735545778,203.85666666666665,-163.44333333333333,649.8833333333333,-89.70666666666668,-218.83666666666667,660.0033333333333,285.67333333333335,-160.39000000000001,647.5366666666666,-156.78666666666666,-252.40666666666667,649.76,164.52523410517426,163.71969420925532,152.62388192373385,152.33950361978805,1836.0000000000005,67932.00000000001,3321.0000000000014,139482.00000000006
454.62482163061526,454.197231356397,206.12666666666667,-171.34666666666666,648.62,-92.57333333333335,-207.35333333333332,664.22,286.02666666666664,-177.7766666666667,642.3933333333333,-164.13666666666666,-235.31666666666666,659.2066666666667,163.90021832959718,163.34937124127407,153.58726204546988,152.4461958397794,855.0,34200.0,725.0,23200.0
453.43088125177894,453.02995870577075,208.51666666666668,-174.67,647.7633333333333,-92.11666666666667,-198.82666666666665,663.4366666666666,286.76666666666665,-186.11333333333334,641.9,-163.88,-231.92,660.11,163.22274223605947,162.63991347368412,152.99320864373186,152.16987912373907,576.0,15552.0,2491.000000000001,79712.00000000003
453.39974068882276,452.16301297464895,206.28333333333333,-161.87,645.6133333333333,-90.05666666666667,-200.06333333333333,662.3366666666667,278.9633333333333,-155.91833333333338,650.8083333333333,-162.92333333333335,-226.63666666666666,665.7266666666667,167.24725027637015,163.49194717183417,158.60913624370914,154.90128175159916,37810.00000000001,5066540.000000001,4997.999999999995,384845.99999999965
447.68179834707405,446.98068064724765,209.94333333333333,-173.49333333333334,646.6466666666666,-88.56000000000002,-198.40666666666667,666.8266666666667,286.56666666666666,-181.32333333333332,641.3766666666667,-156.97,-228.42666666666668,661.3133333333334,161.6169885614895,160.48305953782312,148.79844116843682,147.4117326645412,16428.000000000007,3104892.0000000014,2552.999999999998,181262.99999999988
439.3226631668746,438.6573371459637,209.32666666666665,-174.71333333333334,643.5533333333333,-83.77333333333334,-212.93,658.1233333333333,285.7866666666667,-187.09666666666672,639.2983333333333,-143.44666666666666,-251.65,648.9366666666666,163.43627750674506,161.79083453363927,149.77348192999838,148.44929585733232,36680.0,6859160.0,17888.999999999996,2987462.9999999995
425.7356454811193,425.29655422609227,208.25,-169.97666666666666,647.6,-79.11666666666667,-208.9,657.26,285.28333333333336,-173.47,643.5,-128.9666666666667,-260.67,642.68,162.41297081736732,160.6381890789945,136.33667004766951,135.65275112765755,16198.0,1943760.0,10000.000000000002,830000.0000000001
430.9004837318273,428.64496938456136,226.99666666666667,-191.91666666666666,637.1566666666666,-61.43666666666668,-179.77666666666667,670.1866666666666,300.17,-206.66666666666666,628.44,-123.54666666666667,-212.34,664.8066666666666,160.64309986709,159.65329927058352,134.48074736760853,132.50376209228244,5609.999999999998,594659.9999999998,9239.999999999998,785399.9999999999
443.4620673807794,441.04939419349705,222.33666666666667,-192.53333333333333,636.6333333333333,-69.71666666666668,-199.46666666666667,665.11,298.33,-203.27833333333334,632.075,-136.57,-222.85333333333332,663.6966666666667,164.6011819472453,163.23782767423143,148.72790550154596,145.4850891636324,18260.0,2757260.0,27873.999999999996,4013855.9999999995
434.90834071141444,434.1037885366088,219.3,-164.59333333333333,647.9733333333334,-63.12666666666668,-197.67,665.89,295.74,-154.48000000000002,645.73,-129.47,-228.10333333333332,660.1666666666666,161.1934228751995,159.0501809808055,142.01785147692888,140.2157462715373,12640.0,1719040.0,17981.999999999996,1834163.9999999995
440.2603072939874,439.44330541993975,220.52666666666667,-201.03,637.8033333333333,-77.19333333333334,-211.94333333333333,662.07,295.02666666666664,-222.27000000000004,626.0133333333333,-142.47333333333336,-251.89333333333335,650.56,162.0323960918725,161.74697986671703,148.59324011859982,148.32070043444276,1456.0,49504.0,832.0000000000005,24128.000000000015
436.9317568372545,436.03269579496197,213.39333333333335,-203.70666666666668,639.1266666666667,-80.30333333333334,-202.33666666666667,664.0433333333333,286.85,-221.72666666666672,629.03,-148.2866666666667,-242.11333333333334,655.79,157.85157952963348,157.5121488975427,148.7581200326625,148.40488052494916,2688.0,120960.0,1079.9999999999984,24839.999999999964
